ImageName,Age,Gender,Race,Expression,Glass,beauty
000004.jpg,29,-1,1,-1,-1,38.94
000009.jpg,31,-1,2,1,-1,64.31
000014.jpg,29,-1,1,1,-1,63.22
000016.jpg,42,1,2,1,-1,54.16
000025.jpg,35,1,2,-1,-1,55.97
000030.jpg,51,1,2,-1,-1,66.63
000044.jpg,25,-1,1,-1,-1,55
000051.jpg,68,1,2,1,-1,37.66
000052.jpg,52,1,2,-1,-1,51.81
000074.jpg,27,-1,2,-1,-1,69.88
000080.jpg,40,1,2,-1,-1,65.13
000085.jpg,32,-1,2,1,-1,72.44
000096.jpg,34,-1,2,-1,-1,39.16
000109.jpg,44,1,2,1,-1,53.59
000110.jpg,14,-1,2,1,-1,51.69
000111.jpg,33,-1,2,1,-1,51.38
000121.jpg,25,-1,2,1,-1,71.75
000124.jpg,31,-1,2,-1,-1,42.53
000129.jpg,43,1,2,1,-1,65.56
000132.jpg,30,-1,1,1,-1,53.28
000135.jpg,33,1,0,1,-1,61.63
000143.jpg,43,1,2,1,-1,51.84
000145.jpg,32,-1,2,2,-1,41.91
000147.jpg,25,-1,2,1,-1,70.63
000151.jpg,23,-1,1,1,-1,52.97
000152.jpg,46,1,2,1,1,24.05
000155.jpg,27,-1,2,1,-1,65.5
000157.jpg,22,-1,2,-1,-1,66.06
000161.jpg,32,-1,2,1,-1,59.63
000163.jpg,23,-1,2,-1,-1,72.75
000168.jpg,31,-1,2,1,-1,61.16
000172.jpg,32,-1,2,1,-1,67.94
000174.jpg,42,-1,2,1,-1,50.41
000175.jpg,30,-1,2,1,-1,77.38
000179.jpg,32,-1,2,1,-1,44.22
000180.jpg,25,-1,2,1,-1,54.78
000183.jpg,31,-1,2,1,-1,48.97
000196.jpg,32,1,2,1,-1,40.53
000201.jpg,28,-1,2,-1,-1,67.13
000205.jpg,34,1,2,-1,-1,69.88
000212.jpg,37,1,2,-1,-1,68.19
000221.jpg,55,1,2,-1,-1,64.31
000229.jpg,47,1,2,-1,1,51.69
000231.jpg,25,-1,2,-1,-1,57.66
000239.jpg,37,-1,2,1,-1,45.91
000250.jpg,41,1,3,-1,-1,27.09
000255.jpg,23,1,2,-1,-1,72.88
000258.jpg,30,-1,1,1,-1,81.56
000267.jpg,32,-1,2,-1,-1,64.81
000271.jpg,48,-1,2,1,-1,52.84
000273.jpg,32,-1,2,1,-1,65.19
000281.jpg,31,-1,2,-1,-1,66.31
000291.jpg,50,-1,2,-1,-1,62.19
000294.jpg,29,1,2,-1,-1,62.91
000306.jpg,58,1,2,-1,-1,30.17
000344.jpg,37,-1,2,-1,-1,58.56
000348.jpg,34,-1,2,-1,-1,53.63
000357.jpg,39,-1,2,1,-1,46.63
000375.jpg,28,-1,2,2,1,49.56
000381.jpg,36,-1,2,1,-1,43.91
000383.jpg,62,1,2,-1,1,64.38
000395.jpg,22,-1,2,-1,-1,66.69
000399.jpg,29,-1,2,-1,-1,62.03
000405.jpg,23,-1,2,-1,-1,49.97
000406.jpg,32,1,2,1,-1,62.34
000408.jpg,41,1,2,-1,-1,55.47
000413.jpg,51,1,2,1,-1,42.34
000415.jpg,22,-1,1,1,-1,75.25
000431.jpg,42,-1,2,1,-1,64.56
000432.jpg,27,-1,2,-1,-1,70.44
000434.jpg,23,1,2,-1,-1,72.38
000442.jpg,25,-1,2,-1,-1,68.56
000443.jpg,41,1,2,-1,-1,54.31
000444.jpg,58,1,2,1,1,28.66
000445.jpg,26,-1,2,-1,-1,62.72
000446.jpg,26,-1,2,1,-1,59.72
000459.jpg,23,1,2,-1,-1,59.88
000468.jpg,25,-1,2,1,-1,73.31
000481.jpg,28,1,2,-1,-1,64.25
000489.jpg,33,-1,2,1,-1,58.34
000492.jpg,31,-1,2,1,-1,68.75
000494.jpg,27,-1,3,1,-1,65.13
000497.jpg,25,-1,2,2,-1,76.56
000503.jpg,23,-1,1,-1,-1,85.25
000508.jpg,31,-1,2,1,-1,58.63
000514.jpg,29,-1,2,1,-1,55.53
000519.jpg,35,-1,2,1,-1,56.88
000521.jpg,44,1,2,1,-1,59.75
000528.jpg,55,-1,2,2,-1,62.16
000534.jpg,53,1,2,1,-1,61.81
000536.jpg,26,-1,3,-1,-1,62.28
000540.jpg,31,-1,2,1,-1,49.16
000544.jpg,28,-1,2,1,-1,80.63
000545.jpg,24,1,2,-1,-1,70
000549.jpg,28,-1,2,-1,-1,72.06
000550.jpg,29,-1,2,-1,-1,67.19
000557.jpg,24,-1,2,-1,-1,55.13
000580.jpg,27,-1,2,-1,-1,72.81
000585.jpg,55,1,2,1,-1,51.59
000586.jpg,38,1,2,1,-1,56.09
000599.jpg,30,-1,2,1,-1,58.03
000600.jpg,23,1,3,-1,-1,67.81
000607.jpg,27,-1,2,-1,-1,80.94
000614.jpg,23,-1,2,-1,-1,67
000615.jpg,24,-1,2,-1,-1,74.94
000618.jpg,27,-1,0,1,-1,66.44
000622.jpg,31,1,2,1,-1,51.44
000624.jpg,51,1,2,-1,1,37.88
000632.jpg,31,-1,2,1,-1,57.78
000637.jpg,30,1,3,-1,-1,47.34
000646.jpg,30,-1,2,1,1,47.91
000651.jpg,37,1,2,-1,-1,60.97
000656.jpg,27,-1,2,1,-1,68.13
000674.jpg,44,1,2,-1,-1,65.44
000675.jpg,32,1,2,-1,1,40
000679.jpg,27,-1,1,-1,-1,45.75
000687.jpg,63,1,2,-1,1,15.17
